0.0063,,,,,,,,,,,,,
0.0074,0.0063,,,,,,,,,,,,
0.0087,0.0073,0.0063,,,,,,,,,,,
0.0102,0.0086,0.0073,0.0062,,,,,,,,,,
0.0118,0.01,0.0085,0.0072,0.0062,,,,,,,,,
0.0136,0.0115,0.0098,0.0083,0.0071,0.0062,,,,,,,,
0.0156,0.0132,0.0112,0.0095,0.0082,0.007,0.0062,,,,,,,
0.0177,0.0149,0.0127,0.0108,0.0093,0.008,0.007,0.0061,,,,,,
0.0199,0.0168,0.0142,0.0121,0.0104,0.009,0.0078,0.0069,0.0061,,,,,
0.0221,0.0187,0.0158,0.0135,0.0116,0.01,0.0087,0.0076,0.0067,0.0061,,,,
0.0256,0.0221,0.0187,0.0158,0.0135,0.0116,0.01,0.0087,0.0076,0.0067,0.0061,,,
0.0281,0.0256,0.0221,0.0187,0.0158,0.0135,0.0116,0.01,0.0087,0.0076,0.0067,0.0061,,
1,0.92307,0.8461538,0.76923,0.692308,0.615385,0.538462,0.461539,0.384616,0.307693,0.23077,0.153847,0.076924,
0.0342,0.0315,0.0281,0.0256,0.0221,0.0187,0.0158,0.0135,0.0116,0.01,0.0087,0.0076,0.0067,0.0061
